id,original_path,normalised_name_for_derived_work,sha256,size_bytes,archive_modified_at,topic,material_type,audience,language,priority_candidate,disposition,destination,concepts,custodial_owner,copyright_holder,licence_status,publication_status,provenance_status,execution_status,cell_count,code_cell_count,output_count,error_output_count,outputs_without_complete_execution_record,imports,source_urls,local_file_references,environment_mutation,network_or_external_data,filesystem_write_or_delete,rationale,rights_action
SRC-001,data/_ Programme de data.ipynb,data-programme-de-data.ipynb,bacd19de2c602d99ea2e3516d132b31bae7fde82cce92a1033653d56bb11eca5,2185,2026-07-16T23:40:36,Historical course outline,instructor_planning,instructor,French,P3,historical_reference,docs/analysis/source-audit.md,DP-FND-02,CSMI Data Processing course lead,unknown,unknown,quarantined,unknown,not_executed_during_ingest,2,1,0,0,False,,,,False,False,False,"Useful evidence of the previous sequence, but superseded by curriculum.yml.","Reuse concepts only; create original English text, code, exercises, and figures unless written permission is recorded."
SRC-002,data/00-PROF = cours = apprentissage de données.ipynb,data-00-prof-cours-apprentissage-de-donnees.ipynb,c77b7c85e03fc0bc93332294dbe0db67907f55685024ff2c7d7f4c0687d95275,150485,2026-07-16T23:57:54,Statistical learning foundations,instructor_notes,instructor,French,P1,split_and_rewrite,modules/foundations,DP-FND-01; DP-PROB-01; DP-GEN-01,CSMI Data Processing course lead,unknown,unknown,quarantined,partial,not_executed_during_ingest,47,0,0,0,False,,https://www.amazon.fr/Elements-Statistical-Learning-Inference-Prediction/dp/0387848576/ref=asc_df_0387848576/?tag=googshopfr-21&linkCode=df0&hvadid=194880022724&hvpos=&hvnetw=g&hvrand=10078149059023390877&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9055953&hvtargid=pla-138220952235&psc=1; https://github.com/vincentvigon/public/blob/main/data/functionApprox.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/digit.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/knn.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/linearRegression.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/freqMax2.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/freqMax4.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/freqMax6.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/freqMax12.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/biaisVarianceSchema.png?raw=true,,False,False,False,"Valuable conceptual foundation, but externally hosted figures and French prose require replacement.","Reuse concepts only; create original English text, code, exercises, and figures unless written permission is recorded."
SRC-003,data/10-PROF = Lasso.ipynb,data-10-prof-lasso.ipynb,4c48a4d5323ed37aa5b2c852d7735a21cfcb967ff57506bff36eac7a6f19e929,134346,2026-07-16T22:29:58,Lasso regularisation,instructor_notebook,instructor,French,P1,rewrite,modules/models/regularisation,DP-REG-01; DP-NUM-01,CSMI Data Processing course lead,unknown,unknown,quarantined,unknown,not_executed_during_ingest,13,8,4,0,True,cvxpy; matplotlib; numpy,,,False,False,False,Compact numerical example worth rebuilding with a stable solver and explicit learning outcomes.,"Reuse concepts only; create original English text, code, exercises, and figures unless written permission is recorded."
SRC-004,data/20-PROF = cours = modélisation probabiliste.ipynb,data-20-prof-cours-modelisation-probabiliste.ipynb,c12465b82d2666a796adfd90ae0e0c4f64bcd3285ac58d1333791e76abba9d0d,44798,2026-07-16T23:58:04,Probabilistic modelling,instructor_notes,instructor,French,P1,split_and_rewrite,modules/models/probabilistic-modelling,DP-PROB-01; DP-MET-01,CSMI Data Processing course lead,unknown,unknown,quarantined,partial,not_executed_during_ingest,27,4,3,0,True,matplotlib; numpy; scipy,https://github.com/vincentvigon/public/blob/main/data/petitSigma.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/grandSigma.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/troisApparts.png?raw=true; https://github.com/vincentvigon/public/blob/main/data/maximumDensite.png?raw=true,,False,False,False,Core ideas fit the course; figures and examples require original English replacements.,"Reuse concepts only; create original English text, code, exercises, and figures unless written permission is recorded."
SRC-005,data/30-PROF = biais-variance.ipynb,data-30-prof-biais-variance.ipynb,34124f6d850cb2e3216f45307b615505c172aaf85db8712a4e19118d4d09c34e,1044018,2025-09-08T02:31:34,"Bias, variance, and overfitting",instructor_notebook,instructor,French,P1,split_and_rewrite,modules/evaluation/bias-variance,DP-GEN-01; DP-CV-01; DP-EVAL-03,CSMI Data Processing course lead,unknown,unknown,quarantined,unknown,not_executed_during_ingest,70,28,17,0,True,matplotlib; numpy; pandas; sklearn; warnings,,,False,False,False,"Strong lab structure, but saved outputs and solution content must be separated and regenerated.","Reuse concepts only; create original English text, code, exercises, and figures unless written permission is recorded."
SRC-006,data/40-PROF = arbre de décision.ipynb,data-40-prof-arbre-de-decision.ipynb,ddf01c20b111ecb751dc78c3353294fb7a2705e37c87f1d8dadbb7dadea34560,550263,2025-12-15T07:07:34,Decision trees,instructor_notebook,instructor,French,P1,split_and_rewrite,modules/models/trees,DP-TREE-01; DP-INT-01,CSMI Data Processing course lead,unknown,unknown,quarantined,unknown,not_executed_during_ingest,47,18,16,0,True,graphviz; matplotlib; numpy; os; pandas; sklearn,,,True,False,False,"Relevant core topic; remove installation cells, rebuild figures, and split student and solution variants.","Reuse concepts only; create original English text, code, exercises, and figures unless written permission is recorded."
SRC-007,data/50-PROF = forêt aléatoire.ipynb,data-50-prof-foret-aleatoire.ipynb,56ad33ddc0bc3cf49952db630548310e796e2c1b9d1d440841c1a99426916297,1158164,2025-12-15T08:22:46,Ensembles and random forests,instructor_notebook,instructor,French,P1,split_and_rewrite,modules/models/ensembles,DP-ENS-01; DP-ENS-02; DP-INT-01,CSMI Data Processing course lead,unknown,unknown,quarantined,partial,not_executed_during_ingest,115,57,33,0,True,matplotlib; numpy; os; pandas; sklearn,https://en.wikipedia.org/wiki/Radial_basis_function_kernel,,False,False,False,"Broad and useful coverage, but it needs substantial compression, provenance review, and clean execution.","Reuse concepts only; create original English text, code, exercises, and figures unless written permission is recorded."
SRC-008,data/ancien/bases de pandas.ipynb,data-ancien-bases-de-pandas.ipynb,3e7f092b2f2754a422efcb0b59a8c974d33af271a4e5924c3a6c493a4b512251,954409,2026-07-17T00:55:06,"Pandas, tabular data, and geospatial examples",legacy_notebook,mixed,French,P0,mine_and_rewrite,modules/tabular-data,DP-TAB-01; DP-TAB-02; DP-TAB-03; DP-QLT-01,CSMI Data Processing course lead,unknown,unknown,quarantined,partial,not_executed_during_ingest,143,76,63,1,True,datetime; folium; geopandas; io; matplotlib; numpy; pandas; scipy; statsmodels; urllib; zipfile,https://github.com/vincentvigon/assets_ml; https://www.legifrance.gouv.fr/affichTexte.do;jsessionid=0498736F8F3B3936EDA857F095A5434A.tpdjo08v_3?cidTexte=JORFTEXT000000629684&categorieLien=id; https://www.strasbourg.eu/arbres-alignements-espaces-verts; https://www.strasbourg.eu/documents/976405/1168331/CUS_CUS_DEPN_ARBR.zip; https://www.strasbourg.eu/decoupage-15-quartiers; https://www.strasbourg.eu/documents/976405/1168339/CUS_CUS_DUAH_QUART.zip; http://geopandas.org/; https://folium.readthedocs.io/en/latest/,assets_ml/dataframe/nat2015.txt; arbres/CUS_CUS_DEPN_ARBR.csv,True,True,False,"Contains useful tabular patterns but is oversized, depends on missing assets and live downloads, and mixes optional geospatial material.","Reuse concepts only; create original English text, code, exercises, and figures unless written permission is recorded."
SRC-009,data/ancien/principes du ML part A.ipynb,data-ancien-principes-du-ml-part-a.ipynb,2b1e6d792e5fc63f2999ccb8707ccb684aa13f1b30746f3071f731e17716d0f0,1129854,2026-07-17T01:01:20,Introductory machine-learning principles,legacy_notebook,mixed,French,P1,concepts_only,modules/foundations,DP-FND-01; DP-EVAL-03; DP-GEN-01,CSMI Data Processing course lead,unknown,unknown,quarantined,partial,not_executed_during_ingest,65,19,25,0,True,IPython; matplotlib; numpy; os; pandas; sklearn; warnings,https://github.com/ageron/handson-ml; https://github.com/vincentvigon/assets_ml; https://stats.oecd.org/index.aspx?DataSetCode=BLI; http://goo.gl/j1MSKe,assets_ml/dataframe/df_full.csv; assets_ml/dataframe/df_sample.csv; assets_ml/dataframe/df_missing.csv,False,True,False,Explicitly references external course repositories; retain only the topic map and independently author replacements.,"Reuse concepts only; create original English text, code, exercises, and figures unless written permission is recorded."
SRC-010,"data/ancien/principes du ML part B, technique sklearn.ipynb",data-ancien-principes-du-ml-part-b-technique-sklearn.ipynb,26a5e25a8a30975fc3f812ca1badee64c55acac2c085a0fd92392aa9d331a244,487971,2026-07-17T01:01:32,Scikit-learn workflow,legacy_notebook,mixed,French,P0,concepts_only,modules/pipelines,DP-PIPE-01; DP-EVAL-01; DP-EVAL-03,CSMI Data Processing course lead,unknown,unknown,quarantined,partial,not_executed_during_ingest,77,37,33,0,True,IPython; matplotlib; numpy; os; pandas; sklearn; warnings,https://github.com/vincentvigon/assets_ml; https://stats.oecd.org/index.aspx?DataSetCode=BLI; http://goo.gl/j1MSKe; http://www.oecdbetterlifeindex.org/topics/life-satisfaction/; http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LinearRegression.html#sklearn.linear_model.LinearRegression.score,assets_ml/dataframe/oecd_bli_2015.csv; assets_ml/dataframe/gdp_per_capita.csv,False,True,False,"Workflow remains relevant, but APIs, data sources, and attribution require a clean-room rewrite.","Reuse concepts only; create original English text, code, exercises, and figures unless written permission is recorded."
